,sample,dynamic_UQ,dynamic_cov,dynamic_cdspct,dynamic_min,dynamic_max,read_pct_analysis_dynamic,UQ_dedup_old,cov_dedup,cov_deu_group,UQ_dedup_new,UQ_dedup_old_class,UQ_dedup_new_class,CDS_network_PCT_L23-36,cancer.CDS_alignment,CDS_network_PCT_old.L28.36.,study_id,cellline,type,digestion
843,GSM4826365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
844,GSM4826366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
845,GSM4826367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE143975,C4-2,prostate_cancer,RNAse I
846,GSM4949730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE149973,calu-3,lung_cancer,RNAse I
847,GSM4949731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE149973,calu-3,lung_cancer,RNAse I
869,GSM5348507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE175827,hepG2,liver_cancer,TruSeqRibo
870,GSM5348508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE175827,hepG2,liver_cancer,TruSeqRibo
871,GSM5348509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE175827,hepG2,liver_cancer,TruSeqRibo
872,GSM5348510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE175827,hepG2,liver_cancer,TruSeqRibo
873,GSM546920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE21992,HELA,Cervix_cancer,RNAse I
874,GSM546922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE21992,HELA,Cervix_cancer,RNAse I
875,GSM546924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE21992,HELA,Cervix_cancer,RNAse I
876,GSM546926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE21992,HELA,Cervix_cancer,RNAse I
877,GSM546928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE21992,HELA,Cervix_cancer,RNAse I
878,GSM546930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE21992,HELA,Cervix_cancer,RNAse I
883,GSM5598098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE184842,THP1,Leukemia,Unknown
884,GSM5598099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE184842,THP1,Leukemia,Unknown
885,GSM5598100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE184842,THP1,Leukemia,Unknown
886,GSM5598101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE184842,THP1,Leukemia,Unknown
